Ref_Date,GEO,Geographical classification,SALES,ADJUSTMENT,Vector,Coordinate,Value
1994/06,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1104545
1994/07,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1097917
1994/08,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1141990
1994/09,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1061888
1994/10,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1114291
1994/11,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1120935
1994/12,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1134049
1995/01,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1125352
1995/02,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1109667
1995/03,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1140334
1995/04,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1140967
1995/05,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1156078
1995/06,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1175166
1995/07,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1166092
1995/08,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1173746
1995/09,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1161076
1995/10,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1167266
1995/11,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1165405
1995/12,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1158475
1996/01,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1178154
1996/02,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1181288
1996/03,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1175646
1996/04,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1180734
1996/05,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1186340
1996/06,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1192712
1996/07,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1197337
1996/08,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1205937
1996/09,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1215184
1996/10,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1228998
1996/11,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1252603
1996/12,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1251890
1997/01,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1247510
1997/02,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1266256
1997/03,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1282610
1997/04,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1296433
1997/05,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1309899
1997/06,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1334712
1997/07,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1335309
1997/08,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1371759
1997/09,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1363855
1997/10,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1366570
1997/11,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1381299
1997/12,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1373125
1998/01,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1355579
1998/02,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1404682
1998/03,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1414607
1998/04,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1460844
1998/05,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1395016
1998/06,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1343516
1998/07,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1377367
1998/08,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1373798
1998/09,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1422209
1998/10,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1427290
1998/11,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1448616
1998/12,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1454750
1999/01,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1438814
1999/02,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1454250
1999/03,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1458281
1999/04,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1462475
1999/05,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1485642
1999/06,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1472135
