Ref_Date,GEO,INDUSTRY,SUMMARY,Vector,Coordinate,Value
2013,Prince Edward Island,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848557,3.4.3,x
2014,Prince Edward Island,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848557,3.4.3,2.3
2012,Prince Edward Island,Special food services,Operating profit margin (percent),v99848558,3.4.4,x
2013,Prince Edward Island,Special food services,Operating profit margin (percent),v99848558,3.4.4,x
2014,Prince Edward Island,Special food services,Operating profit margin (percent),v99848558,3.4.4,15.4
2012,Prince Edward Island,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848559,3.5.1,x
2013,Prince Edward Island,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848559,3.5.1,x
2014,Prince Edward Island,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848559,3.5.1,2.8
2012,Prince Edward Island,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848560,3.5.2,x
2013,Prince Edward Island,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848560,3.5.2,x
2014,Prince Edward Island,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848560,3.5.2,2.7
2012,Prince Edward Island,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848561,3.5.3,x
2013,Prince Edward Island,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848561,3.5.3,x
2014,Prince Edward Island,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848561,3.5.3,0.8
2012,Prince Edward Island,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848562,3.5.4,x
2013,Prince Edward Island,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848562,3.5.4,x
2014,Prince Edward Island,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848562,3.5.4,3.5
2012,Nova Scotia,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848563,4.1.1,1366.8
2013,Nova Scotia,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848563,4.1.1,1434.8
2014,Nova Scotia,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848563,4.1.1,1490.3
2012,Nova Scotia,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848564,4.1.2,1299.6
2013,Nova Scotia,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848564,4.1.2,1366.0
2014,Nova Scotia,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848564,4.1.2,1427.7
2012,Nova Scotia,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848565,4.1.3,445.7
2013,Nova Scotia,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848565,4.1.3,452.5
2014,Nova Scotia,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848565,4.1.3,459.6
2012,Nova Scotia,Food services and drinking places,Operating profit margin (percent),v99848566,4.1.4,4.9
2013,Nova Scotia,Food services and drinking places,Operating profit margin (percent),v99848566,4.1.4,4.8
2014,Nova Scotia,Food services and drinking places,Operating profit margin (percent),v99848566,4.1.4,4.2
2012,Nova Scotia,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848567,4.2.1,488.3
2013,Nova Scotia,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848567,4.2.1,535.4
2014,Nova Scotia,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848567,4.2.1,586.4
2012,Nova Scotia,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848568,4.2.2,470.3
2013,Nova Scotia,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848568,4.2.2,515.7
2014,Nova Scotia,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848568,4.2.2,565.2
2012,Nova Scotia,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848569,4.2.3,164.8
2013,Nova Scotia,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848569,4.2.3,168.4
2014,Nova Scotia,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848569,4.2.3,183.2
2012,Nova Scotia,Full-service restaurants,Operating profit margin (percent),v99848570,4.2.4,3.7
2013,Nova Scotia,Full-service restaurants,Operating profit margin (percent),v99848570,4.2.4,3.7
2014,Nova Scotia,Full-service restaurants,Operating profit margin (percent),v99848570,4.2.4,3.6
2012,Nova Scotia,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848571,4.3.1,669.2
2013,Nova Scotia,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848571,4.3.1,684.1
2014,Nova Scotia,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848571,4.3.1,698.6
2012,Nova Scotia,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848572,4.3.2,626.8
2013,Nova Scotia,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848572,4.3.2,642.2
2014,Nova Scotia,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848572,4.3.2,668.5
2012,Nova Scotia,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848573,4.3.3,199.3
2013,Nova Scotia,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848573,4.3.3,201.3
2014,Nova Scotia,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848573,4.3.3,201.4
2012,Nova Scotia,Limited-service eating places,Operating profit margin (percent),v99848574,4.3.4,6.3
2013,Nova Scotia,Limited-service eating places,Operating profit margin (percent),v99848574,4.3.4,6.1
2014,Nova Scotia,Limited-service eating places,Operating profit margin (percent),v99848574,4.3.4,4.3
2012,Nova Scotia,Special food services,"Operating revenue (x 1,000,000)",v99848575,4.4.1,134.8
2013,Nova Scotia,Special food services,"Operating revenue (x 1,000,000)",v99848575,4.4.1,128.8
2014,Nova Scotia,Special food services,"Operating revenue (x 1,000,000)",v99848575,4.4.1,120.6
2012,Nova Scotia,Special food services,"Operating expenses (x 1,000,000)",v99848576,4.4.2,128.6
2013,Nova Scotia,Special food services,"Operating expenses (x 1,000,000)",v99848576,4.4.2,125.4
2014,Nova Scotia,Special food services,"Operating expenses (x 1,000,000)",v99848576,4.4.2,115.4
2012,Nova Scotia,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848577,4.4.3,59.1
2013,Nova Scotia,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848577,4.4.3,58.6
2014,Nova Scotia,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848577,4.4.3,51.7
2012,Nova Scotia,Special food services,Operating profit margin (percent),v99848578,4.4.4,4.6
2013,Nova Scotia,Special food services,Operating profit margin (percent),v99848578,4.4.4,2.6
2014,Nova Scotia,Special food services,Operating profit margin (percent),v99848578,4.4.4,4.3
2012,Nova Scotia,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848579,4.5.1,74.5
2013,Nova Scotia,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848579,4.5.1,86.6
2014,Nova Scotia,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848579,4.5.1,84.6
2012,Nova Scotia,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848580,4.5.2,73.8
2013,Nova Scotia,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848580,4.5.2,82.7
2014,Nova Scotia,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848580,4.5.2,78.6
2012,Nova Scotia,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848581,4.5.3,22.5
2013,Nova Scotia,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848581,4.5.3,24.2
